Analyzing learn-anything...                                     

  error - The named parameter 'payload' isn't defined - lib\core\services\notification_service.dart:118:9 - undefined_named_parameter
  error - Abstract classes can't be instantiated - lib\data\remote\ai\ai_provider_factory.dart:22:19 - instantiate_abstract_class
  error - Abstract classes can't be instantiated - lib\data\remote\ai\ai_provider_factory.dart:38:23 - instantiate_abstract_class
  error - Undefined name 'QuizKind' - lib\data\remote\ai\learning_orchestrator.dart:286:23 - undefined_identifier
warning - Unused import: '../../../core/error/app_exception.dart' - lib\data\remote\ai\provider_connection_tester.dart:3:8 - unused_import
   info - Don't use 'BuildContext's across async gaps - lib\features\dashboard\presentation\dashboard_screen.dart:455:19 - use_build_context_synchronously
   info - Don't use 'BuildContext's across async gaps - lib\features\learn\presentation\learn_screen.dart:88:13 - use_build_context_synchronously
warning - Unused import: '../../../core/error/app_exception.dart' - lib\features\learn\presentation\path_detail_screen.dart:10:8 - unused_import
   info - Statements in an if should be enclosed in a block - lib\features\quiz\presentation\create_quiz_screen.dart:115:20 - curly_braces_in_flow_control_structures
warning - The value of the field '_submitError' isn't used - lib\features\quiz\presentation\quiz_play_screen.dart:42:11 - unused_field
   info - Don't use 'BuildContext's across async gaps - lib\features\settings\presentation\providers_screen.dart:206:28 - use_build_context_synchronously
warning - Unused import: '../../../core/personalization/ui_personalization_controller.dart' - lib\features\settings\presentation\settings_screen.dart:15:8 - unused_import
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_ar.dart:14:63 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_ar.dart:62:62 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_ar.dart:64:47 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_ar.dart:76:62 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_ar.dart:76:75 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_ar.dart:86:63 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_ar.dart:96:61 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_ar.dart:98:94 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_ar.dart:104:81 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_ar.dart:104:93 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_ar.dart:104:109 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_ar.dart:128:70 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_ar.dart:128:82 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_ar.dart:128:93 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_ar.dart:132:51 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_ar.dart:148:59 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_ar.dart:148:70 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_ar.dart:156:81 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_ar.dart:156:92 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_ar.dart:156:104 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_ar.dart:158:80 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_ar.dart:158:97 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_ar.dart:158:115 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_ar.dart:192:86 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_ar.dart:192:161 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_ar.dart:200:58 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_ar.dart:226:80 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_ar.dart:226:92 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_ar.dart:226:103 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_ar.dart:228:51 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_ar.dart:232:61 - unnecessary_brace_in_string_interps
